COMPLIANCE DATE,REGISTRATION,TRACKED BY,MODEL,SERIAL NUMBER,TASK DESCRIPTION,ATA CODE,MFG.CODE,ITEM NUMBER,PART NUMBER REMOVED,SERIAL NUMBER REMOVED,REMOVAL REASON,ACCUMULATED MONTHS,ACCUMULATED HOURS,ACCUMULATED LANDINGS,ACCUMULATED CYCLES,PART NUMBER INSTALLED,SERIAL NUMBER INSTALLED,INSTALLED STATUS,MSN AT INSTALL,TSN AT INSTALL,LSN AT INSTALL,CSN AT INSTALL,MSO AT INSTALL,TSO AT INSTALL,LSO AT INSTALL,CSO AT INSTALL
03/19/2026,N291HC,Hoist 1,3G2591V01532,40336,"RESCUE HOIST CABLE CUTTER CARTRIDGE LIFE LIMIT
FROM DATE OF MANUFACTURE",25,DT 03,1,42315-281,1Q2021,[S] Scheduled,10,30.10,,835.00,42315-281,17955,[N] New,0,0.00,,0.00,,,,
04/21/2025,N291HC,Hoist 1,3G2591V01532,40336,"RESCUE HOIST CABLE CUTTER CARTRIDGE LIFE LIMIT
FROM DATE OF MANUFACTURE",25,DT 03,1,No Part Removed,,,,,,,42315-281,1Q2021,[S] Serviceable,45,35.20,,684.00,18,35.20,,684.00
04/17/2025,N291HC,Hoist 1,3G2591V01532,40336,"RESCUE HOIST CABLE CUTTER CARTRIDGE LIFE LIMIT
FROM DATE OF MANUFACTURE",25,DT 03,1,42315-281,N/A,[U] Unscheduled,0,,,,No Part Installed,,,,,,,,,,
04/17/2025,N291HC,Hoist 1,3G2591V01532,40336,"RESCUE HOIST CABLE CUTTER CARTRIDGE LIFE LIMIT
FROM DATE OF MANUFACTURE",25,DT 03,1,,,[U] Unscheduled,,,,,42315-281,N/A,,0,,,,0,,,
03/17/2026,N281HC,Airframe,A109SP,22310,(RII) BATTERY (REMOVAL NECESSARY) - DO RECONDITIONING SERVICE - SPECIAL INSPECTION [24-01],24,01[22],106,33181-004,11203197,[S] Scheduled,11,437.20,1359,,33181-004,12401858,[N] New,0,0.00,0,,,,,
04/16/2025,N281HC,Airframe,A109SP,22310,RII      BATTERY (REMOVAL NECESSARY) - DO RECONDITIONING SERVICE - SPECIAL INSPECTION [24-01],24,01[22],106,33181-004,12300978,[S] Scheduled,12,476.90,1588,,33181-004,11203197,[I] Inspected,11,399.20,1025,,11,399.20,1025,
04/16/2024,N281HC,Airframe,A109SP,22310,RII      BATTERY (REMOVAL NECESSARY) RECONDITIONING - SPECIAL INSPECTION [24-01],24,01[22],106,33181-004,11300553,[N] Other ( See Notes ),12,452.50,1262,,33181-004,12300978,[N] New,0,0.00,,,,,,
04/15/2023,N281HC,Airframe,AGUSTA A109SP,22310,RII      BATTERY (REMOVAL NECESSARY) RECONDITIONING - SPECIAL INSPECTION [24-01],24,01[22],106,33181-004,11202606,DISCHARGED,1,46.80,169,,33181-004,11300553,[S] Serviceable,,,,,,,,
03/02/2023,N281HC,Airframe,AGUSTA A109SP,22310,RII      BATTERY (REMOVAL NECESSARY) RECONDITIONING - SPECIAL INSPECTION [24-01],24,01[22],106,33181-004,11400448,[S] Scheduled,10,460.60,1533,,33181-004,11202606,[I] Inspected,13,384.50,974,,13,384.50,974,
04/21/2022,N281HC,Airframe,AGUSTA A109SP,22310,RII      BATTERY (REMOVAL NECESSARY) RECONDITIONING - SPECIAL INSPECTION [24-01],24,01[22],106,33181-004,12100388,[S] Scheduled,5,322.10,1052,,33181-004,11400448,[I] Inspected,13,787.70,3238,,13,787.70,3238,
