COMPLIANCE DATE,REGISTRATION,TRACKED BY,MODEL,SERIAL NUMBER,TASK DESCRIPTION,ATA CODE,MFG.CODE,ITEM NUMBER,PART NUMBER REMOVED,SERIAL NUMBER REMOVED,REMOVAL REASON,ACCUMULATED MONTHS,ACCUMULATED HOURS,ACCUMULATED LANDINGS,ACCUMULATED CYCLES,PART NUMBER INSTALLED,SERIAL NUMBER INSTALLED,INSTALLED STATUS,MSN AT INSTALL,TSN AT INSTALL,LSN AT INSTALL,CSN AT INSTALL,MSO AT INSTALL,TSO AT INSTALL,LSO AT INSTALL,CSO AT INSTALL
03/02/2026,N251HC,Airframe,A109SP,22221,COPILOT IDS INDICATOR,40,0003,348,109-0900-76-2A05,16061483,[NS] Not Specified,,,,,109-0900-76-2A05,16071487,[R] Repaired,0,0.00,0,,0,0.00,0,
03/10/2026,N631HC,Airframe,A109SP,22349,COPILOT IDS INDICATOR,40,0003,2277,No Part Removed,,,,,,,109-0900-76-2A05,13020098,[R] Repaired,,,,,,,,
03/04/2026,N631HC,Airframe,A109SP,22349,COPILOT IDS INDICATOR,40,0003,2277,109-0900-76-2A05,25061824,[C] Convenience,,,,,No Part Installed,,,,,,,,,,
03/04/2026,N271HC,Airframe,A109SP,22250,(RII) ROCKER ARM ASSY - RETIREMENT,64,RL64-17,494,109-0130-60-109,FUC0242,[W] Worn To Limits,,,,,109-0130-60-109,FUC0556,[N] New,0,0.00,0,,,,,
03/04/2026,N271HC,Airframe,A109SP,22250,FUEL CONTROL PANEL,28,2030,172,109-0740V37-101,S11057081,[N] Other ( See Notes ),,,,,109-0740V37-101,S2008384,[S] Serviceable,,,,,,,,
03/05/2026,N271HC,Airframe,A109SP,22250,COPILOT IDS INDICATOR,40,0003,349,109-0900-76-2A05,12090065,[F] Failed,,,,,109-0900-76-2A05,25061824,[I] Inspected,4,0.40,1,,4,0.40,1,
03/17/2026,N631HC,Airframe,A109SP,22349,AUTO PILOT CONTROL PANEL,22,1009,1926,No Part Removed,,,,,,,109-0770V15-101,4930,[N] New,0,0.00,0,,,,,
03/13/2026,N631HC,Airframe,A109SP,22349,AUTO PILOT CONTROL PANEL,22,1009,1926,109-0770V15-101,4918,[N] Other ( See Notes ),0,0.00,0,,No Part Installed,,,,,,,,,,
03/10/2026,N631HC,Airframe,A109SP,22349,AUTO PILOT CONTROL PANEL,22,1009,1926,No Part Removed,,,,,,,109-0770V15-101,4918,[S] Serviceable,14,490.80,1882,,14,490.80,1882,
03/06/2026,N631HC,Airframe,A109SP,22349,AUTO PILOT CONTROL PANEL,22,1009,1926,109-0770V15-101,4310,[N] Other ( See Notes ),,,,,No Part Installed,,,,,,,,,,
03/06/2026,N251HC,Airframe,A109SP,22221,AUTO PILOT CONTROL PANEL,22,1009,67,109-0770V15-101,3858,[N] Other ( See Notes ),,,,,109-0770V15-101,4310,[S] Serviceable,,,,,,,,
03/10/2026,N531HC,Airframe,A109SP,22366,(RII) PITCH CONTROL ROD ASSY - #1,64,0117.1,264,109-0130-05-117,FUC1095,[W] Worn To Limits,,,,,109-0130-05-117,FUC1237,[R] Repaired,,,,,,,,
03/11/2026,N531HC,Airframe,A109SP,22366,(RII) UPPER FIXED HALF-SCISSOR ATTACHMENT FITTING - RETIREMENT,62,RL62-12,16,109-0110-38-1,388,[S] Scheduled,,,,,109-0110-38-1,CCB0337,[N] New,0,0.00,0,,,,,
03/12/2026,N531HC,Airframe,A109SP,22366,(RII) FUEL QUANTITY PROBE R/H - #2,28,4010.4,343,109-0900-81-213,764,[F] Failed,,,,,109-0900-81-213,1333,[N] New,0,0.00,0,,,,,
03/12/2026,N531HC,Airframe,A109SP,22366,(RII) FUEL QUANTITY PROBE L/H - #2,28,4010.3,497,109-0900-81-213,790,[N] Other ( See Notes ),,,,,109-0900-81-213,764,[OT] Other (See Notes),,,,,,,,
03/13/2026,N261HC,Airframe,A109SP,22247,AUTO PILOT CONTROL PANEL,22,1009,70,109-0770V15-101,4498,[F] Failed,,,,,109-0770V15-101,4918,[S] Serviceable,14,490.80,1882,,14,490.80,1882,
03/16/2026,N531HC,Airframe,A109SP,22366,IDU-450 NVG - #3 Pilot ADI,34,4012.3,181,42-024001-0001,66-005399,[F] Failed,,,,,42-024001-0001,66-001651,[R] Repaired,,,,,,,,
03/16/2026,N281HC,Airframe,A109SP,22310,(RII) ROTARY SCISSOR SLEEVE MR LOWER,62,3103,2095,109-0110-69-111,CCB1121,[F] Failed,,,,,109-0110-69-111,CCB1036,[N] New,0,0.00,0,,,,,
03/16/2026,N281HC,Airframe,A109SP,22310,(RII) LOWER SCISSOR LEVER,62,3102,2096,109-0134-25-101,CCB0162,[F] Failed,,,,,109-0134-25-101,CCC0083,[N] New,0,0.00,0,,,,,
03/16/2026,N281HC,Airframe,A109SP,22310,(RII) UPPER SCISSOR LEVER,62,3101,2094,109-0134-23-105,CCB0521,[F] Failed,,,,,109-0134-23-105,CCC0141,[N] New,0,0.00,0,,,,,
03/16/2026,N281HC,Airframe,A109SP,22310,(RII) ROTATING SCISSOR ASSY,62,3100,2274,109-0134-21-103,"CCB0521, CCB0162, CCB1121",[F] Failed,,,,,109-0134-21-103,"CCC0083, CCC0141, CCB1036",[N] New,,,,,,,,
03/16/2026,N281HC,Airframe,A109SP,22310,"(RII) MAIN ROTOR DAMPER FITTING - #1 RED
109-0111-07-117, 109-0111-07-119",62,2102.1,2329,109-0111-07-117,AW3661,[F] Failed,,,,,109-0111-07-119,AW1762,[N] New,0,0.00,0,,,,,
03/16/2026,N281HC,Airframe,A109SP,22310,(RII) ROTARY SCISSOR SLEEVE,62,1003,391,109-0110-69-109,AVM0489,[F] Failed,,,,,109-0110-69-109,AVM1005,[N] New,0,0.00,0,,,,,
