Registration Number,Operator,Airframe Report Date,Airframe Hours,Airframe Landings,ATA and Code,Tracked By Equipment,Equipment Hours,Equipment Cycles,Equipment Landings,Equipment RIN,Item Type,Requirement Type,Disposition,Group,Description,Reference,Part Number,Serial Number,Work Order,Scheduled,Estimated Work Hours,Notes,Compliance Date,Compliance Hours,Compliance Landings,Compliance Cycles,Compliance RIN,Interval Days,Interval Months,Interval Hours,Interval Landings,Interval Cycles,Interval RIN,Tolerance Months,Tolerance Days,Tolerance Hours,Tolerance Landings,Tolerance Cycles,Tolerance RIN,Next Due Date,Max Next Due Date,Next Due Hours,Max Next Due Hours,Next Due Landings,Max Next Due Landings,Next Due Cycles,Max Next Due Cycles,Next Due RIN,Max Next Due RIN,Remaining Days,Max Remaining Days,Remaining Months,Max Remaining Months,Remaining Hours,Max Remaining Hours ,Remaining Landings,Max Remaining Landings,Remaining Cycles,Max Remaining Cycles,Remaining RIN,Max Remaining RIN,Is Optional,Next Due Status,Aircraft Grounded,Estimated Due Date,Months Since New,Months Since Overhaul,Months Since Repair,Hours Since New,Hours Since Overhaul,Hours Since Repair,Landings Since New,Landings Since Overhaul,Landings Since Repair,Tags,SalesForce Case Number
N731HC,IHC Health Services,2/20/2026,11.1,0,31 DT31-01,Airframe,11.1,,0,,INSPECTION,,,,"24 MONTH REPLACEMENT OF DIGITAL PILOT/CO-PILOT CLOCK BATTERY ""AAA"" SIZE AKALINE BATTERY COMMERCIAL AVAILABLE",,,,,,,"Digital clock 109-0740L42-101 battery ""AAA"" or 2/3 ""AA"" size alkaline battery commercial available",1/25/2024,,,,,0,24,,0,0,0,0,0,,0,0,0,1/31/2026,,,,,,,,,,-25,,0,,,,,,,,,,No,Past Due,,1/31/2026,,,,,,,,,,,
N731HC,IHC Health Services,2/20/2026,11.1,0,35 GMM CH 5-7.6,Airframe,11.1,,0,,INSPECTION,,,,INSTALLED PORTABLE OXYGEN BOTTLES  7 DAY VERIFICATION OF HYDROSTATIC DATE,GMM,,,,,,"Pilot ""B"" Cylinder Hydro Date . No Discrepancies at this Time. All Work Completed IAW ILF GMM.",1/28/2026,,,,,7,0,,0,0,0,0,1,,0,0,0,2/4/2026,,,,,,,,,,-21,,0,,,,,,,,,,No,Past Due,,2/4/2026,,,,,,,,,,,
N731HC,IHC Health Services,2/20/2026,11.1,0,01 100,Airframe,11.1,,0,,INSPECTION,,,,AIRCRAFT REGISTRATION - FAR 47.40,,,,,,,,,,,,,0,36,,0,0,0,,,,,,,2/24/2026,,,,,,,,,,-1,,0,,,,,,,,,,No,Past Due,,2/24/2026,,,,,,,,,,,
N731HC,IHC Health Services,2/20/2026,11.1,0,26 2300,Airframe,11.1,,0,,INSPECTION,,,CBN PFE,CABIN PORTABLE FIRE EXTINGUISHER  MONTHLY INSPECTION,0B-A-26-23-01-00A-281A-B,,,,,,"Completed Monthly Fire Extinguisher Inspection IAW IHC GMM Chapter 5 Section 4.0  Pages 75.40.2, Form QA-0145 & NFPA 10. No Discrepancies Noted at this time.",,,,,,0,1,,0,0,0,,,,,,,2/24/2026,,,,,,,,,,-1,,0,,,,,,,,,,No,Past Due,,2/24/2026,,,,,,,,,,,
N731HC,IHC Health Services,2/20/2026,11.1,0,26 GOM,Airframe,11.1,,0,,INSPECTION,,,CKPT FIREX,COCKPIT PORTABLE FIRE EXTINGUISHER  MONTHLY INSPECTION,Appendix 9,,,,,,"Completed Monthly Fire Extinguisher Inspection IAW IHC GMM Chapter 5 Section 4.0  Pages 75.40.2, Form QA-0145 & NFPA 10. No Discrepancies Noted at this time.",,,,,,0,1,,0,,,,,,,,,2/24/2026,,,,,,,,,,-1,,0,,,,,,,,,,No,Past Due,,2/24/2026,,,,,,,,,,,
N731HC,IHC Health Services,2/20/2026,11.1,0,34 GOM,Airframe,11.1,,0,,INSPECTION,,FAR 91.171,,VOR  30 DAY CHECK,,,,,,,"Completed #1/#2 VOR Check @ MALAD City VOR (MLD), 117.4, 219* +/-0",,,,,,30,0,,0,0,0,0,0,,0,0,0,2/24/2026,,,,,,,,,,-1,,0,,,,,,,,,,No,Past Due,,2/24/2026,,,,,,,,,,,
N731HC,IHC Health Services,2/20/2026,11.1,0,72 0100.1,Airframe,11.1,,0,,INSPECTION,,CONDITION CHECK,,POWER ASSURANCE CHECK,RFM,,,,,,"Completed PAC IAW Agusta & Pratt & Whitney Instructions. 
#1 Engine N1 92.6, TRQ 95, TOT 799, N2 101, OAT +29, PA 3929, IAS 12       +41
#2 Engine N1 93.1, TRQ 93, TOT 793, N2 101, OAT +29, PA 3929, IAS 12       +47",,,,,,30,0,25,0,0,0,0,0,5,0,0,0,2/24/2026,,25,,,,,,,,-1,,0,,13.9,,,,,,,,No,Past Due,,2/24/2026,,,,,,,,,,,
N731HC,IHC Health Services,2/20/2026,11.1,0,34 2510,Airframe,11.1,,0,,PART,None,,,STANDBY ATTITUDE INDICATOR,,,,,,,,2/20/2026,11.1,0,,,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Past Due,,,,,,,,,,,,,
N731HC,IHC Health Services,2/20/2026,11.1,0,28 DT28-01.1,Airframe,11.1,,0,,PART,None,RII,,(RII) FUEL FILTER ELEMENT - DISCARD [28-01] - #1,,KD651510,No Lot Number,,,,,5/1/2024,0,,,,0,12,400,0,0,0,12,,40,,,,5/1/2025,,400,,,,,,,,-24,,-9,,388.9,,,,,,,,No,Within Tolerance,,5/1/2025,,,,,,,,,,RII,
N731HC,IHC Health Services,2/20/2026,11.1,0,28 DT28-01.2,Airframe,11.1,,0,,PART,None,RII,,(RII) FUEL FILTER ELEMENT - DISCARD [28-01] - #2,,KD651510,No Lot Number,,,,,9/20/2024,0,,,,0,12,400,0,0,0,12,,40,,,,9/20/2025,,400,,,,,,,,-5,,-5,,388.9,,,,,,,,No,Within Tolerance,,9/20/2025,,,,,,,,,,RII,
N251HC,IHC Health Services,2/24/2026,6040.5,16734,05 1000,Airframe,6040.5,,16734,0,INSPECTION,,,,50 HOUR/60 DAY INSPECTION (SCHEDULED INSPECTION PROGRAM),0B-B-05-44-00-01A-00,,,000073,,,Completed IAW Leonardo MM.,12/17/2025,5992.6,16584,,,60,0,50,0,0,0,,10,10,,,,2/15/2026,,6042.6,,,,,,,,-10,,0,,2.1,,,,,,,,No,Within Tolerance,,2/15/2026,,,,,,,,,,,
N251HC,IHC Health Services,2/24/2026,6040.5,16734,25 25-413,Airframe,6040.5,,16734,0,INSPECTION,,,,"STEP BAR PROTECTION - EXAMINE TEFLON PROTECTIONS FOR CONDITION
0B-B-05-70-06-00A-000A-A Scheduled/unscheduled inspections - Rescue hoist installation - General",,,,000073,,,Completed IAW Leonardo AW109SP MM. No Discrepancies Noted at this Time.,12/17/2025,5992.6,16584,,,60,0,50,0,0,0,,10,10,,,,2/15/2026,,6042.6,,,,,,,,-10,,0,,2.1,,,,,,,,No,Within Tolerance,,2/15/2026,,,,,,,,,,,
N281HC,IHC Health Services,2/24/2026,6490,21715,72 0100,Engine 1,6224.1,0,,,INSPECTION,,,,NO. 1 ENGINE - LCF COMPONENT CYCLE COUNT LOGBOOK ENTRY,,,,,,,"REFERENCE- LCF  CONSISTENCY CK LOCATED IN UCR-LIFE FLIGHT MECHANICS FOLDER

TSN 5985.7 CT COUNT 5615 PT COUNT 9711  IM COUNT 5344",1/26/2026,6181.6,,,,0,0,40,0,0,0,,,10,,,,,,6221.6,,,,,,,,,,,,-2.5,,,,,,,,No,Within Tolerance,,2/23/2026,,,,,,,,,,,
N281HC,IHC Health Services,2/24/2026,6490,21715,72 0100,Engine 2,6032.7,0,,,INSPECTION,,,,NO. 2 ENGINE - LCF COMPONENT CYCLE COUNT LOGBOOK ENTRY,,,,,,,"REFERENCE- LCF  CONSISTENCY CK LOCATED IN UCR-LIFE FLIGHT MECHANICS FOLDER

TSN 5665.9 CT COUNT 5566 PT COUNT 4651  IM COUNT 6904",1/26/2026,5990.2,,,,0,0,40,0,0,0,,,10,,,,,,6030.2,,,,,,,,,,,,-2.5,,,,,,,,No,Within Tolerance,,2/23/2026,,,,,,,,,,,
