Registration Number,Operator,Airframe Report Date,Airframe Hours,Airframe Landings,ATA and Code,Tracked By Equipment,Equipment Hours,Equipment Cycles,Equipment Landings,Equipment RIN,Item Type,Requirement Type,Disposition,Group,Description,Reference,Part Number,Serial Number,Work Order,Scheduled,Estimated Work Hours,Notes,Compliance Date,Compliance Hours,Compliance Landings,Compliance Cycles,Compliance RIN,Interval Days,Interval Months,Interval Hours,Interval Landings,Interval Cycles,Interval RIN,Tolerance Months,Tolerance Days,Tolerance Hours,Tolerance Landings,Tolerance Cycles,Tolerance RIN,Number of Instance,Next Due Date,Max Next Due Date,Next Due Hours,Max Next Due Hours,Next Due Landings,Max Next Due Landings,Next Due Cycles,Max Next Due Cycles,Next Due RIN,Max Next Due RIN,Remaining Days,Max Remaining Days,Remaining Months,Max Remaining Months,Remaining Hours,Max Remaining Hours ,Remaining Landings,Max Remaining Landings,Remaining Cycles,Max Remaining Cycles,Remaining RIN,Max Remaining RIN,Is Optional,Next Due Status,Aircraft Grounded,Estimated Due Date,Months Since New,Months Since Overhaul,Months Since Repair,Hours Since New,Hours Since Overhaul,Hours Since Repair,Landings Since New,Landings Since Overhaul,Landings Since Repair,Tags,SalesForce Case Number
N631HC,IHC Health Services,04/16/2026,1850.80,6512,26 2300,Airframe,1850.80,,6512,,INSPECTION,,,CPTFIRE,COCKPIT PORTABLE FIRE EXTINGUISHER  MONTHLY INSPECTION,0B-A-26-23-01-00A-281A-B,A344,Y-197935,,,,"Completed Monthly Fire Extinguisher Inspection IAW IHC GMM Chapter 5 Section 4.0  Pages 75.40.2, Form QA-0145 & NFPA 10. No Discrepancies Noted at this time.",03/12/2026,1847.50,6509,,,0,1,,0,0.00,0.00,,,,,,,,04/12/2026,,,,,,,,,,-17,,0,,,,,,,,,,No,Past Due,,04/12/2026,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,26 2300,Airframe,1850.80,,6512,,INSPECTION,,,CPTFIRE,COCKPIT PORTABLE FIRE EXTINGUISHER  MONTHLY INSPECTION,0B-A-26-23-01-00A-281A-B,,,,,,,,,,,,,1,,,,,,,,,,,1,04/12/2026,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,26 2300,Airframe,1850.80,,6512,,INSPECTION,,,CPTFIRE,COCKPIT PORTABLE FIRE EXTINGUISHER  MONTHLY INSPECTION,0B-A-26-23-01-00A-281A-B,,,,,,,,,,,,,1,,,,,,,,,,,2,05/12/2026,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,26 2300,Airframe,1850.80,,6512,,INSPECTION,,,CPTFIRE,COCKPIT PORTABLE FIRE EXTINGUISHER  MONTHLY INSPECTION,0B-A-26-23-01-00A-281A-B,,,,,,,,,,,,,1,,,,,,,,,,,3,06/12/2026,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,26 2300,Airframe,1850.80,,6512,,INSPECTION,,,CPTFIRE,COCKPIT PORTABLE FIRE EXTINGUISHER  MONTHLY INSPECTION,0B-A-26-23-01-00A-281A-B,,,,,,,,,,,,,1,,,,,,,,,,,4,07/12/2026,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,26 GOM,Airframe,1850.80,,6512,,INSPECTION,,,,COCKPIT PORTABLE FIRE EXTINGUISHER  MONTHLY INSPECTION,Appendix 9,,,,,,"Completed Monthly Fire Extinguisher Inspection IAW IHC GMM Chapter 5 Section 4.0  Pages 75.40.2, Form QA-0145 & NFPA 10. No Discrepancies Noted at this time.",03/12/2026,1847.50,6509,,,0,1,,0,,,,,,,,,,04/12/2026,,,,,,,,,,-17,,0,,,,,,,,,,No,Past Due,,04/12/2026,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,26 GOM,Airframe,1850.80,,6512,,INSPECTION,,,,COCKPIT PORTABLE FIRE EXTINGUISHER  MONTHLY INSPECTION,Appendix 9,,,,,,,,,,,,,1,,,,,,,,,,,1,04/12/2026,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,26 GOM,Airframe,1850.80,,6512,,INSPECTION,,,,COCKPIT PORTABLE FIRE EXTINGUISHER  MONTHLY INSPECTION,Appendix 9,,,,,,,,,,,,,1,,,,,,,,,,,2,05/12/2026,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,26 GOM,Airframe,1850.80,,6512,,INSPECTION,,,,COCKPIT PORTABLE FIRE EXTINGUISHER  MONTHLY INSPECTION,Appendix 9,,,,,,,,,,,,,1,,,,,,,,,,,3,06/12/2026,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,26 GOM,Airframe,1850.80,,6512,,INSPECTION,,,,COCKPIT PORTABLE FIRE EXTINGUISHER  MONTHLY INSPECTION,Appendix 9,,,,,,,,,,,,,1,,,,,,,,,,,4,07/12/2026,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
